State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Households_with_Computer,Households_with_Car_Jeep_Van,Male_Workers,Female_Workers,Hindus,Muslims,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,sex_ration,lieracy_rate,sex_ratio
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,193715,189746,230678,149,2462,1683,89694,73651,6498,1533,119803,43542,220116,84956,37184,2475,38730,98.0,60.0,98.0
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,400309,199270,201039,340595,4019,21093,9581,104643,69993,13249,5264,151410,23226,225673,39266,11434,3360,120576,101.0,85.0,101.0
Mizoram,Champhai,23.54166580976866,93.24221799485862,284,125745,63388,62357,100802,186,2263,1237,34129,26213,1075,699,53111,7231,65403,38336,5823,980,15203,98.0,80.0,98.0
Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,83955,42918,41037,65895,367,1986,867,22733,13939,4000,4426,29697,6975,47283,17992,5921,585,12174,96.0,78.0,96.0
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,117894,60599,57295,62861,162,1329,631,28517,17049,1668,522,38082,7484,72328,29189,3153,613,12611,95.0,53.0,95.0
Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,161428,82891,78537,121122,482,3725,1982,46230,32062,5231,1290,62013,16279,83136,45439,10662,813,21378,95.0,75.0,95.0
Mizoram,Mamit,23.73852942502819,92.4330803833147,281,86364,44828,41536,60191,90,1073,565,24016,15323,2989,1782,36185,3154,47025,28669,2553,262,7855,93.0,70.0,93.0
Mizoram,Saiha,22.35744801061008,93.02827931034489,288,56574,28594,27980,42233,168,1194,507,12211,7250,933,514,14694,4767,37113,8908,957,313,9283,98.0,75.0,98.0
Mizoram,Serchhip,23.263864705882344,92.914158496732,285,64937,32851,32086,54476,131,987,702,18261,14136,991,335,29838,2559,32540,21804,1284,926,8383,98.0,84.0,98.0
Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,378811,197394,181417,278037,3303,12077,10008,99645,51705,108900,31212,122358,28992,227461,24517,8990,5073,112770,92.0,73.0,92.0
Nagaland,Kohima,25.60311428571428,93.78600657596373,270,267988,138966,129022,197489,1928,7982,8428,68140,46685,25496,4384,99408,15417,153163,44684,2198,2072,65871,93.0,74.0,93.0
